id;Program;type;length;credits;description;url;keywords;;;;;;;;;;;;;;;;;;;;
26;Additiv tillverkning;Master;2;120;Bygg en ljusare och effektivare framtid – lager för lager. Som masterstudent i additiv tillverkning kommer du att lära dig att skapa komplexa fysiska objekt genom 3D-skrivare och datorassisterade designprocesser i alltifrån amorfa metaller till biokompatibla material. Bli en del av initiativet som samlar forskning och utbildning inom additiv tillverkning vid Ångströmlaboratoriet, ett av Europas mest avancerade laboratorier för funktionella material.;https://www.uu.se/utbildning/program/masterprogram-additiv-tillverkning;Materialteknik;Materialvetenskap;Additiv Tillverkning;;;;;;;;;;;;;;;;;;
27;Analytisk kemi - EACH;Master;2;120;Detta internationella tvååriga masterprogram, EACH - Excellence in Analytical Chemistry, är för dig som vill bli specialist i analytisk kemi och väl kvalificerad att arbeta inom både industrin och kemiska analyslaboratorier över hela världen. Programmet ger dig de kunskaper och färdigheter som behövs i både grundläggande och tillämpade aspekter av modern analytisk kemi.;https://www.uu.se/utbildning/program/masterprogram-analytisk-kemi-each;Naturvetenskapligt Arbetssätt;Laborativt Arbete;Provberedning;Analytisk Kemi;Framföra Provresultat;;;;;;;;;;;;;;;;
28;Batteriteknik och energilagring;Master;2;120;Läs masterprogrammet i batteriteknik och energilagringssystem för att få en unik karriärprofil med fokus på i batterimaterial, -celler och -system som förbereder dig för en aktiv roll i framtidens batteriforskning och -utveckling inom både akademi och industri. Energilagring är en snabbt växande global industri, där batterier är en central del av elektrifieringen av transport- och energisektorn – en arbetsmarknad som fortsätter att expandera.;https://www.uu.se/utbildning/program/masterprogram-batteriteknik-och-energilagring;Energilagring;Batteriteknik;Materialkemi;;;;;;;;;;;;;;;;;;
29;Bildanalys och maskininlärning;Master;2;120;Vill du bidra till den visuella intelligensen hos morgondagens maskiner? Då ska du studera masterprogrammet i bildanalys och maskininlärning. Genom att specialisera dig inom dessa fält kan du bidra till att bygga en bättre värld med hjälp av mönsterigenkänning och analys och behandling av visuella data. Detta ger dig möjlighet att arbeta inom områden som medicin, biovetenskap, humaniora, robotik, astronomi, materialvetenskap och säkerhet.;https://www.uu.se/utbildning/program/masterprogram-bildanalys-och-maskininlarning;Bildanalys;Maskininlärning;Dataanalys;;;;;;;;;;;;;;;;;;
30;Biofysik;Master;2;120;"""Vad är liv?"" frågade Schrödinger när han försökte smälta samman biologi och fysik. Läs masterprogrammet i biofysik för att lära dig att förstå komplexa biologiska system på molekylär nivå med hjälp av grundläggande begrepp och metoder inom fysik. Biofysikens tvärvetenskapliga natur har främjat stora vetenskapliga framsteg och kommer att ge dig möjlighet att skapa framtidens teknik och få kunskapen som krävs för att utforska livets mysterier.";https://www.uu.se/utbildning/program/masterprogram-biofysik;Naturvetenskapligt Arbetssätt;Programmering;Biofysik;Biokemi;;;;;;;;;;;;;;;;;
31;Bioinformatik;Master;2;120;;;Molekylärbiologi;Bioinformatik;Dataanalys;;;;;;;;;;;;;;;;;;
32;Dataanalys;Master;2;120;Som dataanalytiker kommer du att lära dig utvinna värdefulla insikter ur en av de viktigaste resurserna i dag– data. Masterprogrammet i dataanalys ger dig kunskap med många användningsområden, allt från att bidra till att lösa vår tids stora samhällsproblem till att hjälpa företag av alla storlekar och områden att identifiera målgrupper och optimera sina produkter. Använd de senaste metoderna inom data engineering för att förvandla stora mängder information till övergripande kunskap.;https://www.uu.se/utbildning/program/masterprogram-dataanalys-data-engineering;Dataanalys;Maskininlärning;Programmering;;;;;;;;;;;;;;;;;;
33;Datavetenskap;Master;2;120;Det finns ett stort behov av datavetare med mer än bara grundläggande utbildning. Masterprogrammet i datavetenskap ger möjlighet att anpassa och spetsa utbildningen efter dina intressen. Du undervisas av internationellt aktiva forskare vilket ger dig kunskap direkt från forskningsfronten. Med fokus på kreativitet och problemlösning förbereder utbildningen dig för en internationell karriär inom såväl avancerade industritillämpningar som forskning.;;Datavetenskap;Programmering;Dataanalys;;;;;;;;;;;;;;;;;;
34;Elektriska framdrivningssystem;Master;2;120;Elektrifieringen av transportsektorn sker nu. Vill du vara en del av denna förändring? Masterprogrammet i elektriska framdrivningssystem ger dig expertis inom elektromobilitet och tekniska färdigheter för att möta behoven från en fordonsindustri i ständig utveckling. Uppsala universitet erbjuder tillsammans med partners från branschen ett unikt program med specialkurser i elfordon, som förbereder dig för ett framtida jobb inom samhällets elektrifiering.;;Elektromobilitet;Elektrifiering;Styrsystem;;;;;;;;;;;;;;;;;;
35;Energifysik;Master;2;120;En säker och pålitlig energiförsörjning är avgörande för vårt samhälle och vårt vardagsliv. Behovet på energi ökar, vilket gör utforskningen och användandet av nya energikällor allt viktigare. Energifysik täcker ett brett område av energikällor och omvandlingsprocesser, från vind- och vattenkraft till kärnkraft och kärnfusion. Inriktningen energifysik på masterprogrammet i fysik innehåller många av fysikens områden, som till exempel mekanik, elektromagnetism, fluidmekanik och kärnfysik.;https://www.uu.se/utbildning/program/masterprogram-fysik-energifysik;Fysik;Energifysik;;;;;;;;;;;;;;;;;;;
